"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2010-04";22,80107;22,10488;21,66623;22,32108;22,18745;22,66708;21,47949;20,85405;21,19559;21,78608
"2010-05";20,54966;19,60073;19,38114;20,64834;20,48021;20,38306;19,00226;18,97927;18,87034;18,23258
"2010-06";18,05134;18,0044;17,17212;17,93093;18,05862;17,73374;16,80529;16,9041;16,44269;16,25761
"2010-07";19,66042;19,08964;18,56958;19,32536;19,67005;19,36128;18,23396;18,40489;18,13864;17,9354
"2010-08";18,8046;18,54991;17,88495;18,47;18,81228;18,43301;17,35342;17,42728;17,14918;16,74171
"2010-09";20,50338;19,63189;19,34488;19,94561;20,62457;19,83414;18,04054;18,11242;17,68415;17,14488
"2010-10";20,04169;18,95794;18,47307;19,91951;20,20954;20,31458;17,88235;18,79857;17,85286;17,91664
"2010-11";21,91709;20,07669;20,5171;21,54908;23,14467;22,62186;19,95508;20,79277;20,62304;21,2111
"2010-12";22,85266;21,1867;21,52941;22,50411;23,27811;24,23256;21,66821;22,68695;22,28312;23,22647
"2011-01";26,11012;24,36218;23,83323;25,97082;26,40708;26,26851;24,12521;24,92992;24,54329;24,94736
"2011-02";26,04243;24,28424;24,30059;26,01677;26,71306;26,51891;24,08511;24,63453;24,27256;24,60885
"2011-03";22,852;21,27736;21,09811;21,48954;21,26042;22,45646;21,22858;22,05749;21,67705;20,6158
"2011-04";23,29707;21,57984;21,672;22,95477;23,09618;23,48092;21,38194;22,25946;21,81649;22,24563
"2011-05";20,02052;19,10041;18,25726;19,19533;19,66513;19,38821;17,9433;18,43975;18,15228;18,24071
"2011-06";17,74728;17,44042;16,66548;17,44767;17,69108;17,37362;16,26425;16,71724;16,30826;15,75358
"2011-07";18,09956;17,73137;16,89942;17,48729;17,88294;17,30356;16,4285;16,5891;16,48203;16,5758
"2011-08";19,22752;18,70786;18,92167;18,48566;19,68108;18,89845;18,00889;18,63121;17,59395;17,61459
"2011-09";19,86121;18,74599;18,36354;19,41398;19,92432;19,52774;18,0111;18,54355;17,93046;17,67986
"2011-10";20,79253;19,41304;19,41102;20,54374;20,63429;20,23973;18,82245;19,60742;19,01691;18,58448
"2011-11";20,44731;19,1248;18,85773;20,85339;20,60595;20,9133;18,77062;19,24981;18,82145;19,02926
"2011-12";22,79228;21,58371;21,9555;22,96127;23,12959;24,05446;21,60914;22,49656;21,29301;20,74636
"2012-01";24,45906;22,01297;23,20526;24,15886;25,39249;25,45051;22,9126;23,46205;22,55655;22,85422
"2012-02";24,52539;22,79809;22,93089;24,76594;25,36367;25,27715;22,90513;24,02877;23,35582;23,47486
"2012-03";22,39408;22,00991;21,25679;22,95771;23,29535;24,0545;21,93445;23,11694;22,34078;22,05023
"2012-04";20,93675;20,08585;20,05384;20,85575;22,15289;21,66362;20,02485;20,34279;19,63492;19,43137
"2012-05";18,80632;18,23808;18,34001;18,94563;20,45059;19,38219;18,68996;18,39726;18,59173;18,13143
"2012-06";19,16494;18,91321;18,53949;19,51989;19,80063;19,46881;18,7107;19,00149;19,09625;19,48579
"2012-07";18,86463;18,58079;18,23989;18,69604;19,04495;18,62659;17,63733;17,96217;17,56006;16,98331
"2012-08";19,24885;18,36668;17,87963;19,23237;19,3228;19,47981;17,95044;18,41941;17,88606;17,64185
"2012-09";19,72392;19,52224;19,96269;19,49959;20,25021;20,10019;18,62856;18,81699;18,42628;17,8901
"2012-10";21,82961;20,02042;20,56883;22,13439;21,87925;22,41943;19,65311;19,76527;18,72079;18,7809
"2012-11";20,213;19,60221;19,24249;20,52241;21,24928;21,40292;19,72335;20,90073;19,68053;19,79214
"2012-12";25,2475;23,09022;24,00221;25,02668;25,94328;25,86594;23,52308;24,37969;24,43833;23,56077
"2013-01";23,80087;21,95259;22,11859;23,84292;24,06688;23,58744;22,31463;22,17791;22,40981;22,05008
"2013-02";25,68069;24,58358;24,03564;25,75258;25,86678;26,29751;24,27391;24,88578;24,49614;24,52651
"2013-03";23,69494;23,20514;22,22112;23,66967;23,52797;24,89003;23,55947;24,09711;22,68084;22,87923
"2013-04";20,6716;19,32464;19,20848;20,12609;20,95471;19,81814;18,99046;18,98532;18,37756;18,5098
"2013-05";20,60873;20,03992;19,1754;20,21637;20,2984;19,97799;19,17455;19,20257;18,9484;18,84791
"2013-06";20,27309;19,75974;19,17226;20,15448;20,32493;20,20917;18,73618;19,13657;18,42961;18,71839
"2013-07";19,23426;19,6285;19,03016;19,09146;19,54366;18,5405;18,57116;18,05641;17,26666;17,17036
"2013-08";19,49541;19,22536;19,10373;19,34674;19,7989;19,11767;18,32061;18,6976;18,0591;17,90619
"2013-09";20,5155;19,50029;19,21703;20,18545;20,57777;20,20118;18,68006;18,7177;18,23642;18,19818
"2013-10";19,83995;19,36602;18,49973;19,80034;20,4191;21,55373;19,26309;18,96013;18,36965;18,78788
"2013-11";22,28784;20,34999;20,86587;22,66145;22,97012;23,96456;20,89487;22,60231;19,98131;20,76373
"2013-12";23,15216;21,83234;21,48364;23,25821;23,88717;24,23622;21,56073;22,45966;21,51287;21,26864
"2014-01";25,99323;24,41996;24,20829;26,06115;26,31192;26,5156;24,42339;25,16636;24,71241;25,03992
"2014-02";26,12443;24,16377;24,82298;26,25316;26,8111;27,07727;24,36256;25,64566;25,09002;24,39649
"2014-03";24,59945;23,20475;23,46693;24,2866;24,94864;25,02429;23,22437;23,92056;23,23262;23,09566
"2014-04";21,58487;20,5832;20,25302;21,77256;21,71946;21,91239;19,88071;20,77127;20,08224;19,46115
"2014-05";19,12062;18,08573;18,20236;18,64426;19,06819;18,43286;17,64154;17,70974;17,6528;17,32979
"2014-06";19,34765;19,43683;18,87571;19,2254;19,43802;18,80989;18,49466;18,27214;17,92375;17,59955
"2014-07";19,07288;18,82011;18,19077;18,9168;19,07114;18,79061;17,82121;17,97689;17,65391;17,54286
"2014-08";19,52049;19,34302;18,87842;19,17412;19,70012;19,37619;18,3206;18,33116;18,05436;17,73515
"2014-09";20,24349;19,59315;19,06505;20,07702;20,45084;20,4034;18,81592;19,34416;18,84496;19,08131
"2014-10";20,31842;19,12199;19,37321;20,00987;20,81695;20,70074;19,35742;20,25076;19,46289;19,77193
"2014-11";22,21196;20,89567;21,07717;21,64375;22,1319;21,83274;20,44389;20,87758;20,21238;20,524
"2014-12";24,00116;22,71358;22,98155;24,1675;24,92426;24,87799;22,76912;23,57067;22,81996;22,69184
"2015-01";27,05848;25,38767;25,11051;27,04669;27,48002;27,36391;24,78763;25,67428;25,23128;25,48048
"2015-02";25,50446;24,09394;23,57146;25,23313;25,61903;25,51336;23,60826;24,22872;24,04374;24,29162
"2015-03";24,35047;22,42931;22,68435;23,96499;24,30529;24,16066;22,6167;22,99498;23,00153;23,31034
"2015-04";20,37256;19,99738;19,51503;19,60094;20,72826;20,41378;19,26106;19,41271;18,94365;18,88779
"2015-05";19,84054;18,39349;18,77348;19,57332;20,38311;19,91445;18,97249;19,06729;18,65456;18,31639
"2015-06";20,33804;19,87182;19,46068;19,43699;20,03751;19,69636;19,47749;19,40521;18,85792;18,50495
"2015-07";20,28645;19,50974;19,35503;19,61292;20,22003;20,08401;19,26051;19,43422;18,90071;18,73603
"2015-08";20,47131;19,45857;19,57263;20,42399;20,88204;20,76623;19,12941;19,91229;19,22355;19,08121
