"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"1993-08";47,90458;33,05554;49,18581;21,17126;33,01354;20,26456;30,63565;22,1201;19,94323;24,52246
"1993-09";145,6844;106,5016;138,8014;90,36929;113,4948;99,43594;112,2191;93,57261;98,12639;101,018
"1993-10";93,20477;86,70031;104,7129;71,53246;86,16482;69,87094;82,16039;68,85155;75,56777;80,9052
"1993-11";97,71014;84,99311;102,4158;61,52963;85,76176;62,97744;69,59167;83,34666;68,22023;83,35434
"1993-12";199,0704;185,6976;217,5199;133,9369;193,5731;136,5636;174,671;172,6796;188,9753;201,8541
"1994-01";190,7429;173,4441;188,9298;134,7337;157,3625;145,6677;169,6733;185,4102;168,9532;188,0703
"1994-02";38,03285;36,37585;42,09365;40,62949;31,33044;35,75783;42,33631;51,20237;50,9624;59,52433
"1994-03";339,7371;300,181;359,6785;261,3318;288,9864;297,5952;341,7944;342,0593;309,0467;316,435
"1994-04";125,8645;98,91206;113,7982;84,42393;82,08564;102,1402;118,1162;163,671;102,175;79,46037
"1994-05";144,616;110,6412;154,6859;98,34718;109,5969;104,7356;139,2868;140,6073;120,2845;99,73484
"1994-06";201,1741;121,9841;195,8318;104,2514;165,7737;118,6972;154,2333;133,5718;101,4298;71,13119
"1994-07";93,21136;62,72985;92,93352;37,12249;70,94248;46,89187;67,71739;63,25403;60,59948;50,0779
"1994-08";52,92812;33,18353;49,64553;27,51422;38,1712;27,21625;36,98325;34,19307;32,55882;33,85474
"1994-09";59,34912;42,32891;58,69281;40,32013;47,54821;38,56489;44,54815;34,91767;36,51553;44,13808
"1994-10";62,13256;52,25183;60,73397;48,17014;50,83311;43,00095;47,46103;39,40976;43,18723;60,69741
"1994-11";150,9026;146,8443;160,0452;80,9277;123,9281;90,59199;118,4348;112,5165;98,29737;91,80192
"1994-12";147,8918;145,2867;157,5474;113,6823;133,3212;109,2769;131,4206;134,4093;132,4452;150,5532
"1995-01";137,0006;131,735;135,3188;104,3988;111,49;124,1948;127,827;153,5889;142,1305;164,091
"1995-02";190,7487;152,1855;176,7071;129,9197;156,7584;137,6924;167,8724;168,0108;176,5251;196,3664
"1995-03";136,6109;127,6528;146,1386;106,3724;122,2793;113,8371;158,1654;164,2719;170,8785;186,4865
"1995-04";75,90016;70,98278;99,65042;53,8185;70,12215;57,14589;75,14332;82,32887;78,77657;79,98532
"1995-05";237,0885;157,9456;221,0143;141,4214;167,8381;130,3985;141,2817;121,8702;133,5352;117,667
"1995-06";70,49177;48,59684;78,52097;40,70436;62,15426;40,91506;56,76439;54,29906;55,15989;44,40236
"1995-07";68,13979;47,76187;65,67467;30,28658;47,19085;31,62204;48,35832;40,90506;39,76798;36,75412
"1995-08";64,49483;41,64282;61,63995;30,36723;45,22366;31,54171;47,1343;43,58029;43,57234;41,57256
"1995-09";156,0675;123,0335;157,1471;113,0984;133,1089;100,2222;113,8688;105,6529;117,4251;111,4036
"1995-10";236,8585;196,4118;241,3236;182,2782;214,6784;186,5996;216,6255;191,0236;204,4689;187,3106
"1995-11";218,3049;220,4797;230,2369;128,8719;181,8663;143,6848;187,8645;186,7716;176,1425;174,7933
"1995-12";181,2996;177,0025;186,058;128,5932;154,1725;136,3508;156,056;162,1918;156,588;167,5192
"1996-01";201,3118;187,4652;204,4387;129,9245;173,3875;170,2345;213,1441;242,8781;224,0798;240,6532
"1996-02";372,3345;315,154;394,874;287,6801;346,9288;331,2177;386,8473;369,9134;385,6528;405,7891
"1996-03";275,9878;240,2197;294,2028;226,7457;244,4651;240,8058;294,8519;302,94;311,0108;315,6133
"1996-04";150,39;125,7186;164,9537;90,40253;124,818;99,68902;147,816;142,5233;145,0923;155,0977
"1996-05";92,58123;70,46746;99,05323;51,11475;67,09879;53,19911;81,3184;68,43729;65,10448;60,21167
"1996-06";109,2918;75,28455;106,8627;53,8181;74,75598;57,38032;75,61726;70,93671;66,3057;55,47854
"1996-07";58,98387;41,20568;56,90528;24,70216;41,20044;25,80262;33,18107;28,74029;27,01941;25,3374
"1996-08";80,66553;50,15683;78,04916;45,91066;60,57518;44,5416;61,87749;63,23713;58,89007;56,77939
"1996-09";252,6096;171,9856;236,5518;148,6814;190,1032;150,7818;163,5503;169,5733;165,8799;166,7643
"1996-10";52,69098;42,85343;61,95093;60,16562;60,99477;56,77056;58,64047;55,86962;56,74498;58,30438
"1996-11";238,5165;214,1659;241,74;159,1684;216,3768;174,7059;211,2995;201,0439;188,0983;201,736
"1996-12";181,1991;164,6368;179,5276;121,6882;146,6458;128,6564;148,952;165,3158;134,2382;134,5128
"1997-01";212,4665;201,9774;226,6975;171,2666;194,8325;194,3977;224,6678;242,1289;233,6075;270,4928
"1997-02";66,88527;63,50177;72,62237;51,1592;57,1747;49,0012;57,64358;51,56136;53,48254;53,84666
"1997-03";146,5911;127,9627;168,8158;118,4059;149,9749;133,009;167,9419;168,0075;160,9211;169,339
"1997-04";100,2334;84,52293;111,7883;68,05982;84,28487;63,67082;83,58627;94,78587;71,62349;74,11683
"1997-05";95,07029;69,75784;100,6125;55,19156;74,56187;60,04184;86,54445;77,01219;74,33252;63,60644
"1997-06";82,42149;56,0691;82,87258;40,28715;58,69083;47,15451;66,13062;63,77658;56,78584;42,06702
"1997-07";33,74309;23,6696;33,57365;15,86527;24,65001;17,28928;26,05911;23,49585;22,77961;19,1546
"1997-08";90,80579;62,29905;91,75719;38,01549;62,27691;44,77841;67,08125;60,3819;48,26468;39,58445
"1997-09";123,6861;84,69176;109,2924;67,15127;95,36462;68,07294;84,36014;74,07745;81,67392;73,76173
"1997-10";115,6225;102,5523;115,4557;84,16328;93,95135;82,4908;101,5055;106,3412;85,0875;88,98003
"1997-11";180,9814;174,0469;195,6221;108,8902;160,9113;130,3503;181,067;177,9456;168,5137;172,5897
"1997-12";130,2101;127,794;132,4452;90,04996;108,5267;88,40056;115,4996;122,6863;125,0421;128,3674
